23627 swankjesse {'Multithreading': 184.06645838924788, 'Error Prone': 51.009391026278365, 'Design': 13.84950740036436, 'Performance': 155.41057108295877, 'Best Practices': 81.75489256139116, 'Code Style': 9.742448426334917, 'Security': 195.6315355443935, 'Documentation': 16.861665355816054} {'java.lang': 384, 'java.nio': 8, 'java.io': 62, 'java.util': 161, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 9, 'java.net': 0}
37844 talklittle {'Multithreading': 166.24432195836502, 'Error Prone': 28.887056167487582, 'Design': 44.62724290691627, 'Performance': 172.89409483669962, 'Best Practices': 55.10579205968037, 'Code Style': 13.218267712734539, 'Security': 172.89409483669962, 'Documentation': 14.96464098558495} {'java.lang': 10, 'java.nio': 0, 'java.io': 6, 'java.util': 8, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
45557 dlew {'Multithreading': 63.81261788434316, 'Error Prone': 37.98547176200931, 'Design': 37.05112109148859, 'Performance': 63.81261788434316, 'Best Practices': 28.883724789796094, 'Code Style': 25.742450445799925, 'Security': 63.81261788434316, 'Documentation': 11.975088251446426} {'java.lang': 0, 'java.nio': 0, 'java.io': 0, 'java.util': 0, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
61134 cowtowncoder {'Multithreading': 27.172526068790344, 'Error Prone': 11.748005535885435, 'Design': 7.0224208059998094, 'Performance': 27.59093642908709, 'Best Practices': 26.427092194480306, 'Code Style': 3.376601297809263, 'Security': 27.80047242701975, 'Documentation': 5.907667562235437} {'java.lang': 242, 'java.nio': 0, 'java.io': 1, 'java.util': 179, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 2, 'java.security': 0, 'java.math': 0, 'java.net': 0}
1891264 akarnokd {'Multithreading': 6.955140982209158, 'Error Prone': 6.224167572593438, 'Design': 5.494941587759421, 'Performance': 6.906577517175053, 'Best Practices': 6.955140982209158, 'Code Style': 3.884370092404737, 'Security': 6.955140982209158, 'Documentation': 3.3327359134052243} {'java.lang': 167, 'java.nio': 0, 'java.io': 1, 'java.util': 32, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
43689 flavorjones {'Multithreading': 138.66571028129079, 'Error Prone': 138.66571028129079, 'Design': 5.194001975481177, 'Performance': 138.66571028129079, 'Best Practices': 138.66571028129079, 'Code Style': 2.0753453385508434, 'Security': 138.66571028129079, 'Documentation': 4.911740951172795} {'java.lang': 0, 'java.nio': 0, 'java.io': 0, 'java.util': 1, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
56034 findepi {'Multithreading': 193.51438167939276, 'Error Prone': 74.24808399719757, 'Design': 16.551030424953396, 'Performance': 157.73585240896543, 'Best Practices': 79.38403144073258, 'Code Style': 10.394954962749955, 'Security': 193.51438167939276, 'Documentation': 15.547716876966557} {'java.lang': 385, 'java.nio': 9, 'java.io': 30, 'java.util': 493, 'others': 54, 'java.awt': 0, 'java.text': 2, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 1, 'java.net': 1}
103808 schauder {'Multithreading': 168.92897880578877, 'Error Prone': 103.27770852673662, 'Design': 58.0635007963348, 'Performance': 168.92897880578877, 'Best Practices': 168.92897880578877, 'Code Style': 69.41219788155173, 'Security': 168.92897880578877, 'Documentation': 38.19057332323733} {'java.lang': 0, 'java.nio': 0, 'java.io': 0, 'java.util': 16, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
22626 commonsguy {'Multithreading': 110.28728012261504, 'Error Prone': 59.580978413861814, 'Design': 30.27495680323527, 'Performance': 87.04160553097171, 'Best Practices': 83.91480405310982, 'Code Style': 14.54245629882018, 'Security': 110.28728012261504, 'Documentation': 28.36949651820716} {'java.lang': 62, 'java.nio': 0, 'java.io': 2, 'java.util': 37, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 2, 'java.net': 15}
23457 joelittlejohn {'Multithreading': 126.75401850519117, 'Error Prone': 91.76647684248883, 'Design': 12.019995789188911, 'Performance': 133.94407100023474, 'Best Practices': 40.774251232457964, 'Code Style': 11.131025651285071, 'Security': 136.76022935526052, 'Documentation': 27.503704947271256} {'java.lang': 2276, 'java.nio': 0, 'java.io': 91, 'java.util': 499, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 64, 'java.security': 5, 'java.math': 0, 'java.net': 64}
