5210,okhttp,29433,1057063261
4952344,spring-boot,30434,1055504835
9511697,MPAndroidChart,24659,1033074399
13066443,guava,27729,1055337649
340,netty,16282,1055905939
1041,zipkin,9621,278337441
4095,elasticsearch,35690,228306551
5022,storm,5373,84462511
5640,Arduino,8593,1044780818
8016,android-async-http,10340,1027516358
11821,androidannotations,10541,509687640
15870,jenkins,11442,1056953876
15939,zxing,20501,1046260999
20235,SlidingMenu,11103,265124003
22007,Android-PullToRefresh,8767,27964398
22616,retrofit,30146,1055495734
25331,PhotoView,2077,1021449362
31227,EventBus,19575,1046902078
31366,Android-Universal-Image-Loader,16343,379190493
39068,hadoop,8116,1056589816
42009,greenDAO,10677,980209637
45297,kafka,9981,1057310247
177326,libgdx,14558,1057283652
180018,spark,7822,1037855180
908642,disruptor,9050,995921173
1528515,Hystrix,15386,999898640
2254383,selenium,12358,1057136490
2740299,mybatis-3,8816,1050081719
2922081,druid,13534,1027028385
2922319,fastjson,15329,1053632344
2981995,butterknife,22391,1041855752
3159585,jadx,16384,1056541600
3487748,tutorials,9036,1057235751
3720099,picasso,16116,1046250423
3936540,AndroidSlidingUpPanel,8016,785737318
4391700,glide,23741,1045438585
4851809,FizzBuzzEnterpriseEdition,9799,612520539
4876188,spring-framework,24384,1056743217
5856434,HikariCP,8180,1050468389
6068879,Telegram,10732,859812751
7025061,Calligraphy,8000,1018176151
7482117,CircleImageView,10772,1032588100
8610015,java8-tutorial,10357,883592194
10425739,ExoPlayer,11514,1056142307
11313132,java-design-patterns,40769,1054945352
11474326,RxJava,36051,1057006913
11475003,RxAndroid,17012,997938794
11491823,Android-CleanArchitecture,12636,1004656233
12224410,MaterialDesignLibrary,8869,557804310
12712713,bytecode-viewer,9652,961910145
13335799,Android-ObservableScrollView,9095,389374180
13444836,android-Ultra-Pull-To-Refresh,9369,438869103
14758742,recyclerview-animators,8544,907325739
15778405,MaterialDrawer,9768,1044552296
16477419,stetho,10404,924935972
17214344,Material-Animations,12162,446350615
17302594,elasticsearch,35690,1057218948
